[INFO: train.py:  369]: training with the following args:
[INFO: train.py:  370]: ==================================================
[INFO: train.py:  372]: alphabet_size: 2
[INFO: train.py:  372]: batch_size: 256
[INFO: train.py:  372]: channel_prob: 0.1
[INFO: train.py:  372]: checkpoint_load_path: None
[INFO: train.py:  372]: clip: 1
[INFO: train.py:  372]: code_length: 128
[INFO: train.py:  372]: decoder_d_hidden: 16
[INFO: train.py:  372]: decoder_e_hidden: 8
[INFO: train.py:  372]: decoder_forward: 32
[INFO: train.py:  372]: decoder_lr: 0.01
[INFO: train.py:  372]: encoder_lr: 0.001
[INFO: train.py:  372]: eval_every: 500
[INFO: train.py:  372]: eval_size: 2048
[INFO: train.py:  372]: gamma: 0.7
[INFO: train.py:  372]: log_name: 32 repete 4 times
[INFO: train.py:  372]: message_length: 32
[INFO: train.py:  372]: num_sample: 16
[INFO: train.py:  372]: save_model: True
[INFO: train.py:  372]: seed: 1
[INFO: train.py:  372]: steps: 400000
[INFO: train.py:  372]: train_encoder: False
[INFO: train.py:  373]: ==================================================
[INFO: train.py:  375]: Training on 102400000 datapoints with 400000 steps and batchsize 256
[INFO: train.py:  397]: The encoder has 0 trainable parameters.
[INFO: train.py:  398]: The decoder has 5060 trainable parameters.
[INFO: train.py:  240]: [train] Step: 1/400000 (0%)	Loss: 1.635567	 BER: 0.993896484375	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 2/400000 (0%)	Loss: 0.976518	 BER: 0.4954833984375	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 3/400000 (0%)	Loss: 0.850062	 BER: 0.4996337890625	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 4/400000 (0%)	Loss: 0.802954	 BER: 0.5091552734375	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 5/400000 (0%)	Loss: 0.776267	 BER: 0.49755859375	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 6/400000 (0%)	Loss: 0.761096	 BER: 0.500244140625	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 7/400000 (0%)	Loss: 0.750376	 BER: 0.4947509765625	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 8/400000 (0%)	Loss: 0.742422	 BER: 0.4915771484375	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 9/400000 (0%)	Loss: 0.736134	 BER: 0.501220703125	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 10/400000 (0%)	Loss: 0.730870	 BER: 0.4967041015625	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 11/400000 (0%)	Loss: 0.726631	 BER: 0.508544921875	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 12/400000 (0%)	Loss: 0.722942	 BER: 0.49267578125	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 13/400000 (0%)	Loss: 0.719862	 BER: 0.5050048828125	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 14/400000 (0%)	Loss: 0.717196	 BER: 0.493408203125	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 15/400000 (0%)	Loss: 0.714954	 BER: 0.4976806640625	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 16/400000 (0%)	Loss: 0.713052	 BER: 0.4996337890625	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 17/400000 (0%)	Loss: 0.711309	 BER: 0.497802734375	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 18/400000 (0%)	Loss: 0.709850	 BER: 0.4984130859375	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 19/400000 (0%)	Loss: 0.708407	 BER: 0.4984130859375	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 20/400000 (0%)	Loss: 0.707350	 BER: 0.5072021484375	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 21/400000 (0%)	Loss: 0.706010	 BER: 0.4974365234375	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 22/400000 (0%)	Loss: 0.704995	 BER: 0.4910888671875	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 23/400000 (0%)	Loss: 0.704144	 BER: 0.503173828125	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 24/400000 (0%)	Loss: 0.703319	 BER: 0.4976806640625	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 25/400000 (0%)	Loss: 0.702598	 BER: 0.500244140625	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 26/400000 (0%)	Loss: 0.702008	 BER: 0.50439453125	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 27/400000 (0%)	Loss: 0.701421	 BER: 0.5078125	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 28/400000 (0%)	Loss: 0.700774	 BER: 0.5013427734375	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 29/400000 (0%)	Loss: 0.700272	 BER: 0.4962158203125	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 30/400000 (0%)	Loss: 0.699908	 BER: 0.504638671875	 BLER: 1.0
[INFO: train.py:  240]: [train] Step: 31/400000 (0%)	Loss: 0.699454	 BER: 0.5003662109375	 BLER: 1.0
